"","industry","race_gender","employ_n","year"
"1","Agriculture and related","TOTAL",961000,2020
"2","Agriculture and related","TOTAL",58000,2020
"3","Agriculture and related","TOTAL",13000,2020
"4","Agriculture and related","TOTAL",94000,2020
"5","Agriculture and related","TOTAL",12000,2020
"6","Agriculture and related","TOTAL",96000,2020
"7","Agriculture and related","TOTAL",931000,2020
"8","Agriculture and related","TOTAL",10000,2020
"9","Agriculture and related","TOTAL",33000,2020
"10","Agriculture and related","TOTAL",42000,2020
"11","Agriculture and related","TOTAL",99000,2020
"12","Mining, quarrying, and oil and gas extraction","TOTAL",146000,2020
"13","Mining, quarrying, and oil and gas extraction","TOTAL",104000,2020
"14","Mining, quarrying, and oil and gas extraction","TOTAL",1000,2020
"15","Mining, quarrying, and oil and gas extraction","TOTAL",6000,2020
"16","Mining, quarrying, and oil and gas extraction","TOTAL",11000,2020
"17","Mining, quarrying, and oil and gas extraction","TOTAL",38000,2020
"18","Mining, quarrying, and oil and gas extraction","TOTAL",0,2020
"19","Mining, quarrying, and oil and gas extraction","TOTAL",208000,2020
"20","Mining, quarrying, and oil and gas extraction","TOTAL",39000,2020
"21","Mining, quarrying, and oil and gas extraction","TOTAL",57000,2020
"22","Mining, quarrying, and oil and gas extraction","TOTAL",74000,2020
"23","Construction","TOTAL",2210000,2020
"24","Construction","TOTAL",337000,2020
"25","Construction","TOTAL",14000,2020
"26","Construction","TOTAL",46000,2020
"27","Construction","TOTAL",145000,2020
"28","Construction","TOTAL",545000,2020
"29","Construction","TOTAL",6000,2020
"30","Construction","TOTAL",6404000,2020
"31","Construction","TOTAL",618000,2020
"32","Construction","TOTAL",153000,2020
"33","Construction","TOTAL",307000,2020
"34","Manufacturing","TOTAL",2845000,2020
"35","Manufacturing","TOTAL",2247000,2020
"36","Manufacturing","TOTAL",34000,2020
"37","Manufacturing","TOTAL",176000,2020
"38","Manufacturing","TOTAL",631000,2020
"39","Manufacturing","TOTAL",1148000,2020
"40","Manufacturing","TOTAL",17000,2020
"41","Manufacturing","TOTAL",301000,2020
"42","Manufacturing","TOTAL",653000,2020
"43","Manufacturing","TOTAL",5334000,2020
"44","Manufacturing","TOTAL",1162000,2020
"45","Durable goods","TOTAL",1767000,2020
"46","Durable goods","TOTAL",1620000,2020
"47","Durable goods","TOTAL",17000,2020
"48","Durable goods","TOTAL",79000,2020
"49","Durable goods","TOTAL",344000,2020
"50","Durable goods","TOTAL",697000,2020
"51","Durable goods","TOTAL",7000,2020
"52","Durable goods","TOTAL",233000,2020
"53","Durable goods","TOTAL",414000,2020
"54","Durable goods","TOTAL",3322000,2020
"55","Durable goods","TOTAL",629000,2020
"56","Nondurable goods","TOTAL",1078000,2020
"57","Nondurable goods","TOTAL",627000,2020
"58","Nondurable goods","TOTAL",17000,2020
"59","Nondurable goods","TOTAL",97000,2020
"60","Nondurable goods","TOTAL",288000,2020
"61","Nondurable goods","TOTAL",451000,2020
"62","Nondurable goods","TOTAL",11000,2020
"63","Nondurable goods","TOTAL",68000,2020
"64","Nondurable goods","TOTAL",239000,2020
"65","Nondurable goods","TOTAL",2012000,2020
"66","Nondurable goods","TOTAL",533000,2020
"67","Wholesale and retail trade","TOTAL",1607000,2020
"68","Wholesale and retail trade","TOTAL",1214000,2020
"69","Wholesale and retail trade","TOTAL",68000,2020
"70","Wholesale and retail trade","TOTAL",611000,2020
"71","Wholesale and retail trade","TOTAL",8769000,2020
"72","Wholesale and retail trade","TOTAL",1971000,2020
"73","Wholesale and retail trade","TOTAL",45000,2020
"74","Wholesale and retail trade","TOTAL",129000,2020
"75","Wholesale and retail trade","TOTAL",656000,2020
