"","entity","code","year","human_food","animal_feed","processed","Total"
"1","Germany","DEU",2003,10000,20000,3840000,3870000
"2","Germany","DEU",2004,11000,30000,3504000,3545000
"3","Germany","DEU",2005,10000,40000,3484000,3534000
"4","Germany","DEU",2006,48000,10000,3434000,3492000
"5","Germany","DEU",2007,57000,50000,3409000,3516000
"6","Germany","DEU",2008,51000,10000,3364000,3425000
"7","Germany","DEU",2009,51000,40000,3008000,3099000
"8","Germany","DEU",2010,53000,1e+05,3038000,3191000
"9","Germany","DEU",2011,52000,80000,2951000,3083000
"10","Germany","DEU",2012,62000,80000,3139000,3281000
"11","Germany","DEU",2013,72000,80000,3282000,3434000
"12","Netherlands","NLD",2003,1000,1000,3559000,3561000
"13","Netherlands","NLD",2004,1000,8000,3080000,3089000
"14","Netherlands","NLD",2005,1000,1000,3249000,3251000
"15","Netherlands","NLD",2006,3000,0,3260000,3263000
"16","Netherlands","NLD",2007,1000,0,2922000,2923000
"17","Netherlands","NLD",2008,3000,0,2970000,2973000
"18","Netherlands","NLD",2009,3000,0,2445000,2448000
"19","Netherlands","NLD",2010,1000,0,2400000,2401000
"20","Netherlands","NLD",2011,0,0,2260000,2260000
"21","Netherlands","NLD",2012,3000,0,2117000,2120000
"22","Netherlands","NLD",2013,2000,0,2440000,2442000
"23","Portugal","PRT",2003,0,43000,860000,903000
"24","Portugal","PRT",2004,0,68000,720000,788000
"25","Portugal","PRT",2005,0,76000,850000,926000
"26","Portugal","PRT",2006,0,70000,960000,1030000
"27","Portugal","PRT",2007,0,60000,1132000,1192000
"28","Portugal","PRT",2008,0,30000,1170000,1200000
"29","Portugal","PRT",2009,0,45000,840000,885000
"30","Portugal","PRT",2010,0,45000,793000,838000
"31","Portugal","PRT",2011,0,32000,585000,617000
"32","Portugal","PRT",2012,0,30000,534000,564000
"33","Portugal","PRT",2013,0,40000,708000,748000
"34","United Kingdom","GBR",2003,3000,170000,787000,960000
"35","United Kingdom","GBR",2004,3000,104000,625000,732000
"36","United Kingdom","GBR",2005,3000,118000,656000,777000
"37","United Kingdom","GBR",2006,3000,105000,6e+05,708000
"38","United Kingdom","GBR",2007,4000,146000,660000,810000
"39","United Kingdom","GBR",2008,4000,220000,559000,783000
"40","United Kingdom","GBR",2009,4000,216000,685000,905000
"41","United Kingdom","GBR",2010,5000,183000,664000,852000
"42","United Kingdom","GBR",2011,5000,63000,708000,776000
"43","United Kingdom","GBR",2012,5000,45000,699000,749000
"44","United Kingdom","GBR",2013,3000,37000,670000,710000
"45","United States","USA",2003,11000,650000,41622000,42283000
"46","United States","USA",2004,12000,2748000,46160000,48920000
"47","United States","USA",2005,12000,1932000,47321000,49265000
"48","United States","USA",2006,13000,2096000,49152000,51261000
"49","United States","USA",2007,13000,9e+05,49070000,49983000
"50","United States","USA",2008,12000,1960000,45233000,47205000
"51","United States","USA",2009,10000,2205000,46131000,48346000
"52","United States","USA",2010,11000,2205000,44852000,47068000
"53","United States","USA",2011,12000,2205000,46349000,48566000
"54","United States","USA",2012,11000,2014000,45964000,47989000
"55","United States","USA",2013,12000,2240000,47189000,49441000
